id,region,time,soil,vs
17,NORTH CENTRAL,1672531200000,238.86816743912308,267.0153755609505
2,E OLYMPIC CASCADE FOOTHLS,1672531200000,2046.6111412159964,274.7046710740219
20,NORTH CENTRAL,1672531200000,156.26933259021877,418.02703079281036
18,NORTHWEST,1672531200000,159.57169930511688,436.5297957464729
3,CASCADE MOUNTAINS WEST,1672531200000,1640.118779342723,261.03442879499215
12,NORTH CENTRAL,1672531200000,36.082193844878894,419.7016612046559
16,NORTHEASTERN,1672531200000,30.153016362235416,345.00611884149936
1,PUGET SOUND LOWLANDS,1672531200000,1863.2879632666447,277.05149229255494
21,NORTHEAST,1672531200000,149.09841380108833,448.59557716799816
5,EAST SLOPE CASCADES,1672531200000,539.8045964372113,273.0184737189356
6,OKANOGAN BIG BEND,1672531200000,236.32483885474443,214.87483135961625
7,NORTHEASTERN,1672531200000,396.08284023668637,218.45067020891196
11,WESTERN,1672531200000,204.5540251123336,294.5399571662537
23,NORTHWEST,1672531200000,166.8212217600522,368.19182774651335
10,PANHANDLE,1672531200000,641.0381355932203,227.2582253240279
26,NORTHEAST,1672531200000,389.68539441248976,266.9083812654067
4,WEST OLYMPIC COASTAL,1672531200000,1793.850070721358,381.23661345726407
400,UNKNOWN1,1672531200000,882.5965909090909,654.4886363636364
9,NE OLYMPIC SAN JUAN,1672531200000,1946.5192307692307,380.5769230769231
8,PUGET SOUND LOWLANDS,1672531200000,2034.9671232876713,341.3150684931507
30,WEST CENTRAL,1672531200000,146.55107159142727,459.031007751938
15,CENTRAL MOUNTAINS,1672531200000,338.13458428909865,233.74534651976083
24,CENTRAL,1672531200000,52.6361526804319,417.0117446486077
35,CENTRAL,1672531200000,158.44986253798294,524.1209665750254
37,EAST CENTRAL,1672531200000,154.89395999223152,470.01747912215967
19,PALOUSE BLUE MOUNTAINS,1672531200000,972.0530789573102,243.12240272006045
14,CENTRAL BASIN,1672531200000,454.7620239585196,232.0337922403004
38,WEST UPPER,1672531200000,1037.1308802467777,399.22551503800815
13,NORTHERN,1672531200000,505.917538614848,286.17152466367713
39,SOUTHEASTERN,1672531200000,28.68920404573439,336.75406772207566
