id,region,time,pdsi
17,NORTH CENTRAL,1357365600000,-4.127915229245704
2,E OLYMPIC CASCADE FOOTHLS,1357365600000,0.9615281253473292
20,NORTH CENTRAL,1357365600000,-2.2886959445308874
18,NORTHWEST,1357365600000,-1.9518704379396747
3,CASCADE MOUNTAINS WEST,1357365600000,0.5718381807469821
12,NORTH CENTRAL,1357365600000,-0.9021226092301876
16,NORTHEASTERN,1357365600000,-1.261364292136117
1,PUGET SOUND LOWLANDS,1357365600000,2.414918552483108
21,NORTHEAST,1357365600000,-2.970630490488964
5,EAST SLOPE CASCADES,1357365600000,2.022481435270475
6,OKANOGAN BIG BEND,1357365600000,2.0931316081326012
7,NORTHEASTERN,1357365600000,3.964450830778543
11,WESTERN,1357365600000,0.8049727048760662
23,NORTHWEST,1357365600000,-4.626391543421761
10,PANHANDLE,1357365600000,3.8112566512005004
26,NORTHEAST,1357365600000,-4.291924480462131
4,WEST OLYMPIC COASTAL,1357365600000,-0.04364623773638838
400,UNKNOWN1,1357365600000,-4.391852940998826
9,NE OLYMPIC SAN JUAN,1357365600000,3.1390873087777034
8,PUGET SOUND LOWLANDS,1357365600000,2.9393931267735804
30,WEST CENTRAL,1357365600000,-2.257047800413742
15,CENTRAL MOUNTAINS,1357365600000,0.6117943939811421
24,CENTRAL,1357365600000,-2.5436694912803914
35,CENTRAL,1357365600000,-3.1487884062454152
37,EAST CENTRAL,1357365600000,-4.8583190941058945
19,PALOUSE BLUE MOUNTAINS,1357365600000,2.0436723951498714
14,CENTRAL BASIN,1357365600000,1.1492924190177591
38,WEST UPPER,1357365600000,-6.234005383407087
13,NORTHERN,1357365600000,1.8796497309895193
39,SOUTHEASTERN,1357365600000,-2.679837566335983
43,SOUTH CENTRAL,1357365600000,-3.1523923995084906
41,SOUTHWEST,1357365600000,-2.6978828232801697
48,EAST CENTRAL,1357365600000,-3.9957918397977665
28,NORTH CENTRAL CANYONS,1357365600000,1.177723997819512
47,NORTHWEST,1357365600000,-5.311510273880651
53,CENTRAL,1357365600000,-4.3275137961797165
46,EAST UPPER,1357365600000,-4.469326583965922
57,WEST CENTRAL,1357365600000,-4.271847315242274
55,NORTH CENTRAL,1357365600000,-5.599798827947775
59,SOUTHEAST,1357365600000,-4.359983333773441
42,SOUTHWESTERN,1357365600000,-2.7502838542287558
34,NORTH CENTRAL PRAIRIES,1357365600000,0.8561235297230236
50,SOUTH CENTRAL,1357365600000,-3.946881455469827
22,COASTAL AREA,1357365600000,1.7002889663373033
25,WILLAMETTE VALLEY,1357365600000,2.4225796999972085
64,NORTHEAST,1357365600000,-5.603629433400723
371,EAST UPPER,1357365600000,-2.352241877257648
32,NORTH CENTRAL,1357365600000,0.20527332548781843
36,NORTHEAST,1357365600000,-0.5159864824126494
68,NORTHWEST,1357365600000,-3.9053203673695345
70,NORTH CENTRAL,1357365600000,-4.092407742885934
71,NORTHEAST,1357365600000,-4.362201874313583
65,NORTHWEST LOWER,1357365600000,-2.1172364350365043
66,NORTHEAST LOWER,1357365600000,-2.6220341300929975
27,SOUTHERN INTERIOR,1357365600000,1.5308849682103922
33,NORTHERN CASCADES,1357365600000,1.5458553477890375
56,NORTHEASTERN VALLEYS,1357365600000,-1.6612864680555584
40,NORTHERN,1357365600000,-0.32433798892086385
373,EAST CENTRAL,1357365600000,-5.123385750772568
81,WEST CENTRAL,1357365600000,-6.3842180434018765
31,COASTAL,1357365600000,0.5790464689099707
