id,region,time,pr,tmmn,tmmx,rmin,rmax
17,NORTH CENTRAL,1293861600000,0.7430295463182567,252.35750694829605,263.51191225684687,57.73204348483015,92.70574924622653
2,E OLYMPIC CASCADE FOOTHLS,1293861600000,10.566054601002024,272.45938752929254,278.57348586433204,70.1220676391449,96.50794015060232
20,NORTH CENTRAL,1293861600000,0.6473809191311025,254.0552785267404,264.3329107740894,57.996088146732816,89.67950569919667
18,NORTHWEST,1293861600000,0.79590515569637,255.13099924153778,265.2417117808769,60.0482590242254,92.88125244822606
3,CASCADE MOUNTAINS WEST,1293861600000,13.686343304837411,268.711678415589,274.5808157658912,69.76089935657751,94.39740299366059
12,NORTH CENTRAL,1293861600000,1.0613692176403633,259.44488256053097,271.4144097039084,48.88453259643666,94.04365411610975
16,NORTHEASTERN,1293861600000,0.9459009906630746,257.7255828791055,269.03178574812216,54.90194347229195,96.99996048990025
1,PUGET SOUND LOWLANDS,1293861600000,6.214525755101903,273.68620429185665,279.6419597102034,69.64827909705699,97.48922471363386
21,NORTHEAST,1293861600000,0.471966192988652,253.34907756358814,262.80060401061405,60.85583362679695,88.77410241793122
5,EAST SLOPE CASCADES,1293861600000,4.533374193611848,267.3703433602412,274.00977150440855,65.5098931814562,92.56194969216185
6,OKANOGAN BIG BEND,1293861600000,0.9821330409547739,267.54386836465045,274.5626074081215,64.6326843808174,93.10030059579088
7,NORTHEASTERN,1293861600000,2.3174065601952356,266.74311344415,273.40706299381975,68.06596820400502,92.04172069769287
11,WESTERN,1293861600000,4.3655049263108765,263.6800910750741,271.5802803936291,67.16345448611175,94.2641948101807
23,NORTHWEST,1293861600000,0.48324673587694644,253.29009056579622,263.1049370814866,59.34891041578558,89.62920374113764
10,PANHANDLE,1293861600000,4.5235936033603945,266.8272593759557,273.07734894755237,70.18100689128323,92.19508473485308
26,NORTHEAST,1293861600000,0.9162955415897057,252.9463667206156,264.2981483942019,55.97573736801323,93.85010905341262
4,WEST OLYMPIC COASTAL,1293861600000,16.179232457918687,273.84971904627514,279.80023930738696,72.79642997707121,97.71536144981022
400,UNKNOWN1,1293861600000,1.6010463373726964,261.7843199699156,270.4618867091869,45.81063908256144,77.59660653145083
9,NE OLYMPIC SAN JUAN,1293861600000,3.2441366322699094,273.81205466485795,279.9941883702432,69.57910539257911,97.0825236382023
8,PUGET SOUND LOWLANDS,1293861600000,4.266922674733354,273.3481409669055,279.3926214402722,70.85253557453431,96.46529146561501
30,WEST CENTRAL,1293861600000,0.904854556507099,255.8305767349609,266.86419317010416,56.757254341202795,94.3263924080444
15,CENTRAL MOUNTAINS,1293861600000,3.8890165154013046,262.7538937030884,272.347373828444,59.217662299622056,95.5379102523755
24,CENTRAL,1293861600000,0.8956893003549351,262.4651507592806,273.52033855389436,48.575839473108765,91.35520876628124
35,CENTRAL,1293861600000,0.521872834722479,254.61502825384514,264.87617064405714,59.452694336171746,92.01893923137145
37,EAST CENTRAL,1293861600000,0.5460197181587615,254.16471084073936,264.1143979156907,60.54192936009514,93.2948136705877
19,PALOUSE BLUE MOUNTAINS,1293861600000,2.031611677162295,269.62967981979574,276.6570031982803,64.10371407724857,94.33089516984064
14,CENTRAL BASIN,1293861600000,0.793529901302727,269.8286585138146,277.2131091926105,63.45718536838408,95.99664022853375
38,WEST UPPER,1293861600000,1.2325203258867399,260.4006416207682,268.2269857915268,51.743090459517504,84.11008068096946
13,NORTHERN,1293861600000,1.3277760645093608,258.48193624595194,267.2967565477776,53.07331117980134,84.20461653724807
