id,region,time,NDVI
17,NORTH CENTRAL,1356998400000,1057.4518502170235
2,E OLYMPIC CASCADE FOOTHLS,1356998400000,6155.8546795358425
20,NORTH CENTRAL,1356998400000,-207.43026334122894
18,NORTHWEST,1356998400000,-212.79532533164877
3,CASCADE MOUNTAINS WEST,1356998400000,3752.336386409895
12,NORTH CENTRAL,1356998400000,340.7248276641428
16,NORTHEASTERN,1356998400000,-127.95594434120473
1,PUGET SOUND LOWLANDS,1356998400000,5502.776535380507
21,NORTHEAST,1356998400000,-28.55731156651615
5,EAST SLOPE CASCADES,1356998400000,1915.6148685802266
6,OKANOGAN BIG BEND,1356998400000,38.28211662419427
7,NORTHEASTERN,1356998400000,1983.3233305156382
11,WESTERN,1356998400000,1780.6584848612104
23,NORTHWEST,1356998400000,216.919827094038
10,PANHANDLE,1356998400000,2014.703888334995
26,NORTHEAST,1356998400000,1860.9308751027115
4,WEST OLYMPIC COASTAL,1356998400000,7475.759967034099
400,UNKNOWN1,1356998400000,1921.846590909091
9,NE OLYMPIC SAN JUAN,1356998400000,6576.917085427136
8,PUGET SOUND LOWLANDS,1358380800000,7336.221757322176
30,WEST CENTRAL,1356998400000,-105.65498176014592
15,CENTRAL MOUNTAINS,1356998400000,1600.5084420712217
24,CENTRAL,1356998400000,1119.3415656374314
35,CENTRAL,1356998400000,-104.59918969758357
37,EAST CENTRAL,1356998400000,147.12750048553116
19,PALOUSE BLUE MOUNTAINS,1356998400000,1464.9931054023423
14,CENTRAL BASIN,1356998400000,2653.655059896299
38,WEST UPPER,1356998400000,2362.869850548723
13,NORTHERN,1356998400000,2941.078039362232
39,SOUTHEASTERN,1356998400000,321.53721416007033
43,SOUTH CENTRAL,1356998400000,-87.69873434765046
41,SOUTHWEST,1356998400000,-22.55566706811187
48,EAST CENTRAL,1356998400000,730.5821384215875
28,NORTH CENTRAL CANYONS,1356998400000,1548.5773552290407
47,NORTHWEST,1356998400000,1332.6446095098604
53,CENTRAL,1356998400000,18.123424312178013
46,EAST UPPER,1356998400000,2128.229736575481
57,WEST CENTRAL,1356998400000,-38.152263146216995
55,NORTH CENTRAL,1356998400000,1805.342220518997
59,SOUTHEAST,1356998400000,9.705089169204001
42,SOUTHWESTERN,1356998400000,895.3534385569335
34,NORTH CENTRAL PRAIRIES,1356998400000,1320.04
50,SOUTH CENTRAL,1356998400000,1021.3058785107772
22,COASTAL AREA,1356998400000,7614.478145324848
25,WILLAMETTE VALLEY,1356998400000,6353.617786515554
64,NORTHEAST,1356998400000,2362.8729750578555
371,EAST UPPER,1356998400000,1234.0381355932204
32,NORTH CENTRAL,1356998400000,3132.5434959349595
36,NORTHEAST,1356998400000,1549.4226056945643
68,NORTHWEST,1356998400000,538.7429628991995
70,NORTH CENTRAL,1356998400000,209.17175311345287
71,NORTHEAST,1356998400000,28.905502899985855
65,NORTHWEST LOWER,1356998400000,960.4225279271825
66,NORTHEAST LOWER,1356998400000,2111.5346232179227
27,SOUTHERN INTERIOR,1356998400000,2928.0687328453796
33,NORTHERN CASCADES,1356998400000,5965.158506516379
56,NORTHEASTERN VALLEYS,1356998400000,317.2872439478585
40,NORTHERN,1356998400000,2983.021306818182
373,EAST CENTRAL,1356998400000,2749.1918238993712
81,WEST CENTRAL,1356998400000,700.1212580185318
31,COASTAL,1356998400000,3112.124768303985
44,SOUTH CENTRAL,1356998400000,982.0820856019359
75,BIG HORN,1356998400000,280.8905005688282
77,POWDR,1356998400000,769.573355736918
