id,region,time,NDVI
17,NORTH CENTRAL,1451606400000,1248.0861104980504
2,E OLYMPIC CASCADE FOOTHLS,1451606400000,5748.492436154638
20,NORTH CENTRAL,1451606400000,-126.4205796293716
18,NORTHWEST,1451606400000,39.085912823752366
3,CASCADE MOUNTAINS WEST,1451606400000,2642.9653364632236
12,NORTH CENTRAL,1451606400000,554.1654424228726
16,NORTHEASTERN,1451606400000,135.66310111952137
1,PUGET SOUND LOWLANDS,1451606400000,5511.217972273259
21,NORTHEAST,1451606400000,-298.4598240129675
5,EAST SLOPE CASCADES,1451606400000,1216.6036397624807
6,OKANOGAN BIG BEND,1451606400000,109.38000299805127
7,NORTHEASTERN,1451606400000,989.2649438473615
11,WESTERN,1451606400000,1170.2141897282997
23,NORTHWEST,1451606400000,77.44070630454286
10,PANHANDLE,1451606400000,1187.23703888335
26,NORTHEAST,1451606400000,1335.8937962202137
4,WEST OLYMPIC COASTAL,1451606400000,6402.705034489859
400,UNKNOWN1,1451606400000,1779.0170454545455
9,NE OLYMPIC SAN JUAN,1451606400000,6720.846347607053
8,PUGET SOUND LOWLANDS,1452988800000,7517.893499308437
30,WEST CENTRAL,1451606400000,597.5735948010489
15,CENTRAL MOUNTAINS,1451606400000,1147.8780437357802
24,CENTRAL,1451606400000,680.0168829323735
35,CENTRAL,1451606400000,-146.55238026334828
37,EAST CENTRAL,1451606400000,-14.407554865022334
19,PALOUSE BLUE MOUNTAINS,1451606400000,1883.402058934643
14,CENTRAL BASIN,1451606400000,1780.431029858752
38,WEST UPPER,1451606400000,2308.1243252175827
13,NORTHERN,1451606400000,3065.62225959143
39,SOUTHEASTERN,1451606400000,954.2023691732629
43,SOUTH CENTRAL,1451606400000,339.4363807728558
41,SOUTHWEST,1451606400000,959.3950889870199
48,EAST CENTRAL,1451606400000,587.0463475217342
28,NORTH CENTRAL CANYONS,1451606400000,1850.7344425237684
47,NORTHWEST,1451606400000,1008.6235097259987
53,CENTRAL,1451606400000,106.33563520771676
46,EAST UPPER,1451606400000,2307.8480523841504
57,WEST CENTRAL,1451606400000,75.63662081207012
55,NORTH CENTRAL,1451606400000,1501.1373418761295
59,SOUTHEAST,1451606400000,217.7440916340438
42,SOUTHWESTERN,1451606400000,689.7596768132281
34,NORTH CENTRAL PRAIRIES,1451606400000,2668.6867647058825
50,SOUTH CENTRAL,1451606400000,461.9183540169824
22,COASTAL AREA,1451606400000,7439.875515193852
25,WILLAMETTE VALLEY,1451606400000,6776.7953625534865
64,NORTHEAST,1451606400000,2215.657662293114
371,EAST UPPER,1451606400000,1510.800847457627
32,NORTH CENTRAL,1451606400000,2346.7251451800234
36,NORTHEAST,1451606400000,1407.3694995685937
68,NORTHWEST,1451606400000,676.794955668417
70,NORTH CENTRAL,1451606400000,57.131038729984944
71,NORTHEAST,1451606400000,180.7780449851464
65,NORTHWEST LOWER,1451606400000,1100.7352420614263
66,NORTHEAST LOWER,1451606400000,1648.9803386127799
27,SOUTHERN INTERIOR,1451606400000,3340.5186985361393
33,NORTHERN CASCADES,1451606400000,5530.173476576259
56,NORTHEASTERN VALLEYS,1451606400000,179.60754189944134
40,NORTHERN,1451606400000,3418.3686079545455
373,EAST CENTRAL,1451606400000,605.5786163522013
81,WEST CENTRAL,1451606400000,439.45277975766214
31,COASTAL,1451606400000,3625.2444676167306
44,SOUTH CENTRAL,1451606400000,961.3131366582882
75,BIG HORN,1451606400000,461.9204076795449
77,POWDR,1451606400000,597.7135861737878
73,YELLOWSTONE DRAINAGE,1451606400000,1015.0369843527739
54,ST. LAWRENCE VALLEY,1451606400000,1611.8131482101037
51,CHAMPLAIN VALLEY,1451606400000,3171.9481030780244
45,NORTHEASTERN,1451606400000,2513.3570377636097
49,WESTERN,1451606400000,2283.7470893784703
82,BELLE FOURCHE DRAINAGE,1451606400000,1245.284154460719
87,CENTRAL,1451606400000,-191.05002986857826
90,EAST CENTRAL,1451606400000,-146.26646364674534
91,SOUTHEAST,1451606400000,-100.80171265461465
84,EAST CENTRAL,1451606400000,19.20418786229741
63,SOUTHWESTERN VALLEYS,1451606400000,2115.0998944776643
74,EASTERN HIGHLANDS,1451606400000,284.64705074189413
99,SOUTHWEST,1451606400000,-204.23914649916867
92,CENTRAL,1451606400000,685.1510977630489
93,BLACK HILLS,1451606400000,3028.2124833997345
62,NORTHERN PLATEAU,1451606400000,2804.596130799521
80,SNAKE DRAINAGE,1451606400000,695.7073396619588
105,SOUTH CENTRAL,1451606400000,-226.77679370191447
100,SOUTHWEST,1451606400000,228.91050304035377
67,SOUTHEAST,1451606400000,353.6533406957482
79,UPPER SNAKE RIVER PLAINS,1451606400000,-197.10173902005585
58,SOUTHERN,1451606400000,4275.133415943825
72,GREAT LAKES,1451606400000,1536.9092682165704
106,CHEYENNE & NIOBRARA DRNG.,1451606400000,1282.5548011639185
104,WEST CENTRAL LOWER,1451606400000,1628.0964402470033
101,CENTRAL LOWER,1451606400000,911.8525334608031
98,EAST CENTRAL LOWER,1451606400000,1624.6213796735124
115,SOUTHEAST,1451606400000,-114.52691835139059
61,HIGH PLATEAU,1451606400000,1664.1139935618255
69,SOUTHEASTERN,1451606400000,3548.788449660284
102,WIND RIVER,1451606400000,468.8740056818182
52,SOUTHWESTERN VALLEYS,1451606400000,6260.709203156823
118,SOUTH CENTRAL,1451606400000,-117.10702037522695
120,SOUTHWEST,1451606400000,219.04195240016136
119,SOUTH CENTRAL,1451606400000,124.83647430644973
78,HUDSON VALLEY,1451606400000,4375.20563890326
121,SOUTHEAST,1451606400000,159.6145966709347
97,CENTRAL PLAINS,1451606400000,268.4344001020018
130,NORTH CENTRAL,1451606400000,-314.18277727682596
131,NORTHWEST,1451606400000,-244.5415930624699
129,NORTHEAST,1451606400000,-89.5502421307506
86,SOUTHWESTERN HIGHLANDS,1451606400000,388.2848602808286
88,MOHAWK VALLEY,1451606400000,2346.7265870521683
112,GREEN AND BEAR DRAINAGE,1451606400000,15.802258584927403
116,SOUTHEAST LOWER,1451606400000,2391.308365084863
122,SOUTHWEST LOWER,1451606400000,557.4398958826313
96,CENTRAL LAKES,1451606400000,1385.5674157303372
126,LOWER PLATTE,1451606400000,456.3480660421111
95,EASTERN PLATEAU,1451606400000,3042.3976804123713
124,SOUTH CENTRAL LOWER,1451606400000,1034.491027174842
138,NORTH CENTRAL,1451606400000,1131.8550248101872
136,PANHANDLE,1451606400000,157.79123381812371
143,NORTHEAST,1451606400000,74.78276844631074
83,COASTAL,1451606400000,5054.52988972722
133,UPPER PLATTE,1451606400000,76.96106699560558
85,CENTRAL,1451606400000,4943.069402781565
94,WESTERN,1451606400000,4840.373567608862
149,CENTRAL,1451606400000,12.548042427078459
117,WESTERN PLATEAU,1451606400000,2094.7031650983745
150,WEST CENTRAL,1451606400000,-184.9619771863118
148,NORTHWEST,1451606400000,1305.7546647691336
146,NORTHEAST,1451606400000,1191.6138570933056
151,EAST CENTRAL,1451606400000,400.8446088794926
134,NORTHWEST PLATEAU,1451606400000,2974.213484761357
377,COASTAL,1451606400000,5268.340909090909
114,NORTHWEST,1451606400000,5033.271907216495
110,CENTRAL,1451606400000,4787.275542406312
108,ALL,1451606400000,4907.84413202934
128,UPPER SUSQUEHANNA,1451606400000,3942.701510989011
89,NORTH COAST DRNG.,1451606400000,5463.964322647363
135,WESTERN,1451606400000,409.40305249652516
140,NORTH CENTRAL,1451606400000,-59.211776859504134
142,NORTHERN MOUNTAINS,1451606400000,446.5543455275957
107,SACRAMENTO DRNG.,1451606400000,4069.1062914343415
113,NORTHWESTERN,1451606400000,516.5173799126637
127,POCONO MOUNTAINS,1451606400000,4183.067802503477
125,NORTHEASTERN,1451606400000,-24.691324529288703
109,NORTHEAST INTER. BASINS,1451606400000,991.8775329688002
144,NORTHEAST,1451606400000,2627.405014464802
376,ALL,1451606400000,4525.131205673759
160,NORTHWEST,1451606400000,2702.530888030888
159,NORTH CENTRAL,1451606400000,2443.6701934703747
164,CENTRAL,1451606400000,2229.961484264913
166,EAST CENTRAL,1451606400000,664.1789343586927
158,NORTHEAST,1451606400000,2418.6346409574467
153,NORTHWEST,1451606400000,2886.3089311859444
154,NORTH CENTRAL,1451606400000,3006.2063492063494
145,CENTRAL MOUNTAINS,1451606400000,3923.6449759486904
141,MIDDLE SUSQUEHANNA,1451606400000,3693.1247751220767
168,SOUTHEAST,1451606400000,2112.904225679127
171,SOUTH CENTRAL,1451606400000,1337.6708167330678
173,SOUTHWEST,1451606400000,956.3439903846154
123,COASTAL,1451606400000,4610.468607825295
172,SOUTHWEST,1451606400000,2440.9562325147654
139,NORTHERN,1451606400000,3385.494646680942
170,EAST,1451606400000,2534.107665361632
178,CENTRAL,1451606400000,2565.164674634794
157,SOUTHWEST PLATEAU,1451606400000,3790.2647261216625
132,COASTAL,1451606400000,3913.6140350877195
181,WEST,1451606400000,2875.834990274476
161,NORTHEAST HILLS,1451606400000,4356.849469964664
147,EAST CENTRAL MOUNTAINS,1451606400000,3961.2946486137976
163,CENTRAL HILLS,1451606400000,4154.147035728308
375,COASTAL,1451606400000,4728.110294117647
174,PLATTE DRAINAGE BASIN,1451606400000,970.3378979994364
167,CO DRAINAGE BASIN,1451606400000,572.8384991338778
184,KS DRAINAGE BASIN,1451606400000,2065.0351043643263
176,WEST CENTRAL,1451606400000,2958.803271569195
202,SOUTHEAST,1451606400000,1814.9573093027489
162,SOUTH CENTRAL MOUNTAINS,1451606400000,3280.2964061984835
177,CENTRAL,1451606400000,3522.8113344635503
205,SOUTH CENTRAL,1451606400000,2379.447078746825
155,SOUTHEASTERN PIEDMONT,1451606400000,4266.605480116392
186,CENTRAL,1451606400000,3058.69322947873
180,UINTA BASIN,1451606400000,287.30033174372795
169,NORTHWESTERN,1451606400000,3399.46006028636
209,NORTHEAST PRAIRIE,1451606400000,3606.3523489932886
