id,region,time,pr,tasmin,tasmax,huss,sfcWind,huss_min,huss_max
17,NORTH CENTRAL,1893456000000,9.184282038369478e-06,254.2534842709046,268.2271062566268,0.0013821834600349998,2.870965953955538,0.00020912537002004683,0.0035790451802313328
2,E OLYMPIC CASCADE FOOTHLS,1893456000000,4.278675877568062e-05,271.07453743711807,278.2799790636069,0.003905593910503737,2.957743653796189,0.001457367790862918,0.006532649975270033
20,NORTH CENTRAL,1893456000000,1.2042533709412139e-05,253.7640546912021,266.243836773839,0.0011411566956141628,4.189290571797754,0.0001805358042474836,0.0033404859714210033
18,NORTHWEST,1893456000000,9.901258604220886e-06,255.22118758264625,266.99576451074415,0.001174110434738861,4.231608022723083,0.0001815468567656353,0.003310218220576644
3,CASCADE MOUNTAINS WEST,1893456000000,4.327830443126196e-05,266.324600874239,273.97674751028154,0.0029828791639466964,2.9139452406469366,0.001091723795980215,0.005881980527192354
12,NORTH CENTRAL,1893456000000,7.586271679023782e-06,259.8581521874016,269.80925370760866,0.0016391878070737562,4.916504564780186,0.00035286214551888406,0.003942866809666157
16,NORTHEASTERN,1893456000000,7.018383652410859e-06,257.6187241954342,268.5864055084023,0.001379194242300316,4.572884838309647,0.00024892090004868805,0.003137829015031457
1,PUGET SOUND LOWLANDS,1893456000000,2.979178152426619e-05,272.99647734199175,279.92554490703975,0.004243241449495231,2.945026992928776,0.002185060875490308,0.006617183331400156
21,NORTHEAST,1893456000000,8.129051463768019e-06,253.23422941751292,265.4045833772735,0.0011583039569976199,4.0118944417938085,0.00019714198424480855,0.003365121316164732
5,EAST SLOPE CASCADES,1893456000000,2.475392149014239e-05,264.8479646732169,272.6654568588962,0.0026466938598284245,3.018183148410534,0.0009297594078816473,0.005075468681752682
6,OKANOGAN BIG BEND,1893456000000,9.09299393959584e-06,266.4064624073376,273.72100441214883,0.0027363762250988944,3.092907573677758,0.0010682683205232024,0.004716152790933847
